platform,day_of_week,hour,engagement_score,content_type,audience_segment
instagram,monday,09:00,85,image,general
instagram,monday,12:00,92,video,general
instagram,monday,18:00,88,carousel,general
instagram,tuesday,09:00,87,image,general
instagram,tuesday,12:00,94,video,general
instagram,tuesday,19:00,91,story,general
facebook,monday,12:00,90,text,business
facebook,monday,15:00,85,image,business
facebook,tuesday,12:00,88,video,business
facebook,wednesday,13:00,92,link,business
twitter,monday,08:00,82,text,general
twitter,monday,12:00,88,text,general
twitter,monday,17:00,85,thread,general
twitter,tuesday,08:00,84,text,general
linkedin,monday,08:00,90,article,professional
linkedin,monday,12:00,85,text,professional
linkedin,tuesday,08:00,92,article,professional
linkedin,wednesday,17:00,88,text,professional
tiktok,monday,19:00,95,video,gen_z
tiktok,tuesday,20:00,92,video,gen_z
tiktok,wednesday,21:00,94,video,gen_z
tiktok,friday,18:00,89,video,gen_z
