hashtag,platform,usage_count,avg_engagement,trend_score,category
#socialmedia,instagram,15420,456,85,marketing
#socialmedia,facebook,8900,234,78,marketing
#socialmedia,twitter,12500,189,82,marketing
#contentcreator,instagram,9800,523,92,creator
#contentcreator,tiktok,18700,789,95,creator
#digitalmarketing,linkedin,6700,345,88,business
#digitalmarketing,twitter,5400,198,75,business
#trending,tiktok,25600,1250,98,viral
#viral,tiktok,18900,1100,96,viral
#fyp,tiktok,45200,890,94,viral
#business,linkedin,12300,267,82,professional
#professional,linkedin,8900,298,79,professional
#motivation,instagram,7800,389,76,lifestyle
#motivation,facebook,5600,234,73,lifestyle
#tips,instagram,6500,445,81,educational
#howto,youtube,4300,234,74,educational
#ai,twitter,3400,298,89,technology
#ai,linkedin,2100,345,91,technology
#sustainability,instagram,2800,567,87,environmental
#remotework,linkedin,1900,289,83,business
